keywords_c	counts	b	a
microbiome, metabolism, ecosystem, biodiversity, microbial ecology, environment, ecology	1	ecology	microbiome
microbiome, metabolism, ecosystem, ecology	3	ecology	microbiome
microbiome, metabolism, ecosystem, environment	11	environment	microbiome
microbiome, metabolism, ecosystem, environment, ecology	4	ecology	microbiome
microbiome, metabolism, ecosystem, microbial ecology, ecology	5	ecology	microbiome
microbiome, metabolism, environment	134	environment	microbiome
microbiome, metabolism, environment, ecology	3	ecology	microbiome
microbiome, metabolism, environment, omics	1	omics	microbiome
microbiome, metabolism, flux	8	flux	microbiome
microbiome, metabolism, flux balance analysis, fba, flux	1	flux	microbiome
microbiome, metabolism, metabolic process	1	metabolic process	microbiome
microbiome, metabolism, metabolome	79	metabolome	microbiome
microbiome, metabolism, metabolome, ecology	4	ecology	microbiome
microbiome, metabolism, metabolome, ecosystem	4	ecosystem	microbiome
microbiome, metabolism, metabolome, ecosystem, environment	1	environment	microbiome
microbiome, metabolism, metabolome, ecosystem, omics	3	omics	microbiome
microbiome, metabolism, metabolome, ecosystem, omics, ecology	1	ecology	microbiome
microbiome, metabolism, metabolome, environment	9	environment	microbiome
microbiome, metabolism, metabolome, environment, ecology	1	ecology	microbiome
microbiome, metabolism, metabolome, microbial ecology, ecology	1	ecology	microbiome
microbiome, metabolism, metabolome, omics	12	omics	microbiome
microbiome, metabolism, microbial ecology, ecology	29	ecology	microbiome
microbiome, metabolism, microbial ecology, environment, ecology	1	ecology	microbiome
microbiome, metabolism, microbial ecology, environment, omics, ecology	1	ecology	microbiome
microbiome, metabolism, microbial ecology, omics, ecology	2	ecology	microbiome
microbiome, metabolism, omics	20	omics	microbiome
microbiome, metabolism, omics, ecology	1	ecology	microbiome
microbiome, metabolome	179	metabolome	microbiome
microbiome, metabolome, biodiversity	1	biodiversity	microbiome
microbiome, metabolome, ecology	3	ecology	microbiome
microbiome, metabolome, ecosystem	6	ecosystem	microbiome
microbiome, metabolome, ecosystem, environment	1	environment	microbiome
microbiome, metabolome, ecosystem, omics	1	omics	microbiome
microbiome, metabolome, environment	21	environment	microbiome
microbiome, metabolome, environment, omics	2	omics	microbiome
microbiome, metabolome, environment, omics, ecology	1	ecology	microbiome
microbiome, metabolome, microbial ecology, ecology	2	ecology	microbiome
microbiome, metabolome, omics	20	omics	microbiome
microbiome, microbial ecology, ecology	163	ecology	microbiome
microbiome, microbial ecology, environment, ecology	32	ecology	microbiome
microbiome, microbial ecology, environment, omics, ecology	1	ecology	microbiome
microbiome, microbial ecology, omics, ecology	1	ecology	microbiome
microbiome, omics	124	omics	microbiome
microbiome, omics, ecology	6	ecology	microbiome
microbiome, text mining	1	text mining	microbiome
microbiome, text mining, environment	1	environment	microbiome
microbiome, text mining, metabolism	1	metabolism	microbiome
omics, ecology	44	ecology	omics
text mining, biodiversity	7	biodiversity	text mining
text mining, data mining	57	data mining	text mining
text mining, data mining, environment	2	environment	text mining
text mining, data mining, omics	3	omics	text mining
text mining, ecology	1	ecology	text mining
text mining, ecosystem	5	ecosystem	text mining
text mining, environment	32	environment	text mining
text mining, environment, omics	1	omics	text mining
text mining, flux	1	flux	text mining
text mining, metabolic process	1	metabolic process	text mining
text mining, metabolism	22	metabolism	text mining
text mining, metabolism, metabolic process	1	metabolic process	text mining
text mining, metabolism, omics	2	omics	text mining
text mining, metabolome	3	metabolome	text mining
text mining, metabolome, data mining, omics	1	omics	text mining
text mining, microbial ecology, environment, ecology	1	ecology	text mining
text mining, omics	13	omics	text mining
